sale_date,store_id,product_id,units_sold,revenue
2025-11-26,S002,P002,2,4.87
2025-11-26,S002,P001,12,28.9
2025-11-26,S002,P003,2,4.65
2025-11-26,S002,P007,13,24.12
2025-11-26,S002,P008,9,17.02
2025-11-26,S002,P017,15,26.0
2025-11-26,S048,P024,6,28.45
2025-11-26,S048,P015,13,25.08
2025-11-26,S048,P018,13,25.26
2025-11-26,S018,P022,14,13.7
2025-11-26,S018,P008,4,7.61
2025-11-26,S018,P025,10,37.84
2025-11-26,S016,P023,7,16.38
2025-11-26,S016,P022,14,13.85
2025-11-26,S016,P021,9,44.35
2025-11-26,S016,P003,2,4.59
2025-11-26,S016,P020,11,45.7
2025-11-26,S015,P007,5,9.35
2025-11-26,S015,P021,11,52.38
2025-11-26,S015,P016,12,23.87
2025-11-26,S015,P013,6,15.52
2025-11-26,S015,P015,3,5.57
2025-11-26,S009,P022,13,12.87
2025-11-26,S009,P014,15,50.48
2025-11-26,S009,P020,2,8.34
2025-11-26,S009,P003,11,25.94
2025-11-26,S007,P014,12,41.08
2025-11-26,S007,P006,22,65.1
2025-11-26,S007,P015,13,24.85
2025-11-26,S007,P001,6,14.66
2025-11-26,S007,P024,22,106.26
2025-11-26,S035,P001,11,27.27
2025-11-26,S035,P004,4,9.81
2025-11-26,S035,P012,4,9.54
2025-11-26,S035,P010,6,11.82
2025-11-26,S035,P008,19,37.59
2025-11-26,S035,P002,9,21.33
2025-11-26,S006,P015,8,15.35
2025-11-26,S006,P017,6,10.49
2025-11-26,S006,P004,2,4.94
2025-11-26,S006,P008,8,14.95
2025-11-26,S006,P003,14,32.44
2025-11-27,S016,P024,12,55.97
2025-11-27,S016,P011,13,20.54
2025-11-27,S016,P004,18,44.3
2025-11-27,S016,P008,3,5.97
2025-11-27,S016,P007,2,3.96
2025-11-27,S016,P021,7,33.49
2025-11-27,S031,P013,12,32.9
2025-11-27,S031,P002,13,31.58
2025-11-27,S031,P006,13,36.68
2025-11-27,S031,P001,3,7.2
2025-11-27,S027,P002,3,6.92
2025-11-27,S027,P019,5,9.21
2025-11-27,S027,P016,8,15.85
2025-11-27,S027,P017,9,14.87
2025-11-27,S027,P006,3,8.67
2025-11-27,S013,P009,7,12.96
2025-11-27,S013,P007,10,19.79
2025-11-27,S013,P022,2,1.92
2025-11-27,S013,P023,3,7.0
2025-11-27,S013,P011,7,10.55
2025-11-27,S007,P008,6,11.5
2025-11-27,S007,P012,11,27.36
2025-11-27,S007,P010,12,23.53
2025-11-27,S046,P022,5,4.79
2025-11-27,S046,P004,9,21.75
2025-11-27,S046,P005,10,21.53
2025-11-27,S046,P009,2,3.8
2025-11-27,S046,P024,7,33.07
2025-11-27,S043,P021,16,76.18
2025-11-27,S043,P009,1,1.98
2025-11-27,S043,P006,6,17.7
2025-11-27,S043,P024,5,23.04
2025-11-27,S028,P002,4,9.61
2025-11-27,S028,P012,19,46.36
2025-11-27,S028,P007,10,19.86
2025-11-27,S028,P022,8,7.3
2025-11-27,S028,P008,14,26.55
2025-11-27,S023,P009,17,33.45
2025-11-27,S023,P006,7,20.79
2025-11-27,S023,P023,11,26.94
2025-11-27,S023,P004,7,16.96
2025-11-27,S044,P011,15,23.55
2025-11-27,S044,P009,15,27.74
2025-11-27,S044,P003,8,19.86
2025-11-27,S044,P024,7,33.8
2025-11-27,S044,P012,14,32.95
2025-11-27,S044,P017,13,23.08
2025-11-27,S048,P009,2,3.92
2025-11-27,S048,P002,7,16.13
2025-11-27,S048,P023,12,29.08
2025-11-27,S048,P014,5,16.47
2025-11-27,S030,P022,11,10.19
2025-11-27,S030,P014,15,51.94
2025-11-27,S030,P011,10,15.69
2025-11-27,S030,P013,9,23.96
2025-11-27,S030,P023,11,26.17
2025-11-27,S004,P017,3,5.23
2025-11-27,S004,P016,9,17.84
2025-11-27,S004,P024,9,42.12
2025-11-27,S004,P006,6,16.57
2025-11-27,S045,P020,9,38.42
2025-11-27,S045,P003,11,26.64
2025-11-27,S045,P015,2,3.94
2025-11-27,S045,P014,5,16.36
2025-11-27,S045,P021,17,81.83
2025-11-27,S045,P019,4,7.83
2025-11-27,S038,P025,17,65.38
2025-11-27,S038,P015,8,15.25
2025-11-27,S038,P020,11,48.76
2025-11-27,S038,P024,11,52.79
2025-11-27,S038,P017,7,11.61
2025-11-28,S016,P014,15,49.03
2025-11-28,S016,P011,14,21.85
2025-11-28,S016,P018,2,3.91
2025-11-28,S018,P016,8,14.99
2025-11-28,S018,P001,12,28.29
2025-11-28,S018,P012,15,36.87
2025-11-28,S018,P010,7,13.41
2025-11-28,S018,P013,14,38.01
2025-11-28,S018,P014,4,12.99
2025-11-28,S022,P006,14,41.06
2025-11-28,S022,P002,12,29.76
2025-11-28,S022,P009,12,22.13
2025-11-28,S022,P013,2,5.16
2025-11-28,S022,P011,10,14.72
2025-11-28,S022,P007,3,5.95
2025-11-28,S021,P001,5,11.57
2025-11-28,S021,P020,7,29.56
2025-11-28,S021,P005,10,22.18
2025-11-28,S021,P008,5,9.28
2025-11-28,S035,P004,13,31.63
2025-11-28,S035,P019,4,7.85
2025-11-28,S035,P001,6,14.67
2025-11-28,S035,P010,5,9.6
2025-11-28,S035,P022,2,1.89
2025-11-28,S006,P003,17,39.3
2025-11-28,S006,P017,14,24.72
2025-11-28,S006,P021,5,24.42
2025-11-28,S006,P011,10,15.8
2025-11-28,S006,P001,16,39.28
2025-11-28,S009,P011,10,15.35
2025-11-28,S009,P008,12,22.91
2025-11-28,S009,P003,9,21.0
2025-11-28,S009,P009,9,17.74
2025-11-28,S009,P015,10,19.13
2025-11-28,S010,P003,17,39.76
2025-11-28,S010,P008,18,34.36
2025-11-28,S010,P024,1,4.68
2025-11-28,S010,P014,7,23.61
2025-11-28,S015,P018,14,26.24
2025-11-28,S015,P017,8,14.0
2025-11-28,S015,P012,9,21.58
2025-11-28,S015,P014,5,17.09
2025-11-28,S015,P025,11,43.81
2025-11-28,S015,P011,19,30.16
2025-11-28,S025,P010,7,13.41
2025-11-28,S025,P008,7,12.88
2025-11-28,S025,P012,12,27.79
2025-11-28,S025,P006,12,33.04
2025-11-28,S043,P016,12,22.88
2025-11-28,S043,P015,3,5.53
2025-11-28,S043,P011,2,3.13
2025-11-28,S043,P006,8,22.48
2025-11-28,S043,P002,15,36.72
2025-11-28,S014,P025,14,54.02
2025-11-28,S014,P017,13,22.56
2025-11-28,S014,P013,6,15.68
2025-11-28,S014,P015,6,11.06
2025-11-29,S012,P010,14,27.39
2025-11-29,S012,P023,9,21.59
2025-11-29,S012,P015,9,17.66
2025-11-29,S012,P003,3,7.35
2025-11-29,S036,P015,12,22.91
2025-11-29,S036,P004,5,12.34
2025-11-29,S036,P023,15,34.44
2025-11-29,S036,P010,14,27.49
2025-11-29,S036,P013,3,8.15
2025-11-29,S005,P019,24,47.44
2025-11-29,S005,P002,11,26.15
2025-11-29,S005,P025,27,103.16
2025-11-29,S005,P006,16,46.58
2025-11-29,S005,P016,7,13.59
2025-11-29,S011,P022,15,13.96
2025-11-29,S011,P013,8,21.26
2025-11-29,S011,P025,26,95.45
2025-11-29,S011,P018,18,33.49
2025-11-29,S011,P002,17,40.63
2025-11-29,S001,P025,13,50.62
2025-11-29,S001,P002,4,9.67
2025-11-29,S001,P007,12,22.56
2025-11-29,S001,P009,2,3.69
2025-11-29,S001,P018,6,11.1
2025-11-29,S001,P005,7,15.67
2025-11-29,S027,P014,6,20.81
2025-11-29,S027,P016,25,46.31
2025-11-29,S027,P008,4,7.83
2025-11-29,S027,P015,16,31.3
2025-11-29,S027,P018,14,26.26
2025-11-29,S029,P019,19,36.45
2025-11-29,S029,P022,17,15.92
2025-11-29,S029,P016,12,22.43
2025-11-29,S029,P005,14,31.48
2025-11-29,S029,P015,3,5.72
2025-11-29,S039,P013,7,18.89
2025-11-29,S039,P022,7,6.62
2025-11-29,S039,P021,28,128.71
2025-11-29,S039,P005,7,15.59
2025-11-29,S039,P016,5,9.78
2025-11-29,S039,P002,11,26.72
2025-11-29,S031,P011,22,33.94
2025-11-29,S031,P022,25,22.84
2025-11-29,S031,P018,4,7.76
2025-11-29,S019,P008,6,11.65
2025-11-29,S019,P024,1,4.91
2025-11-29,S019,P003,12,28.52
2025-11-29,S019,P014,11,37.06
2025-11-29,S019,P004,7,16.15
2025-11-29,S003,P020,10,42.22
2025-11-29,S003,P022,13,12.77
2025-11-29,S003,P008,24,46.53
2025-11-29,S003,P016,6,11.89
2025-11-29,S003,P019,14,26.58
2025-11-29,S003,P005,12,25.95
2025-11-30,S031,P020,16,67.42
2025-11-30,S031,P024,13,60.67
2025-11-30,S031,P016,13,25.29
2025-11-30,S007,P021,14,66.31
2025-11-30,S007,P004,5,11.75
2025-11-30,S007,P002,15,34.76
2025-11-30,S007,P010,16,31.62
2025-11-30,S016,P009,17,32.39
2025-11-30,S016,P016,3,5.95
2025-11-30,S016,P010,22,43.1
2025-11-30,S016,P024,12,56.98
2025-11-30,S025,P018,13,25.5
2025-11-30,S025,P004,12,28.05
2025-11-30,S025,P015,2,3.96
2025-11-30,S025,P012,18,42.03
2025-11-30,S025,P022,5,4.74
2025-11-30,S037,P021,3,14.36
2025-11-30,S037,P014,5,16.8
2025-11-30,S037,P004,17,41.21
2025-11-30,S037,P005,19,42.56
2025-11-30,S037,P002,20,49.14
2025-11-30,S023,P009,25,49.17
2025-11-30,S023,P002,8,18.91
2025-11-30,S023,P023,11,25.8
2025-11-30,S023,P012,7,17.18
2025-11-30,S023,P007,5,9.66
2025-11-30,S023,P015,1,1.88
2025-11-30,S046,P019,10,19.6
2025-11-30,S046,P007,10,18.54
2025-11-30,S046,P003,2,4.97
2025-11-30,S046,P025,7,27.48
2025-11-30,S019,P022,2,1.95
2025-11-30,S019,P001,10,23.44
2025-11-30,S019,P005,8,17.63
2025-11-30,S043,P016,16,29.57
2025-11-30,S043,P015,18,34.72
2025-11-30,S043,P025,19,73.65
2025-11-30,S002,P002,20,47.77
2025-11-30,S002,P016,14,25.81
2025-11-30,S002,P013,5,13.14
2025-11-30,S026,P013,23,59.55
2025-11-30,S026,P020,7,30.55
2025-11-30,S026,P017,9,15.97
2025-11-30,S026,P010,16,30.45
2025-11-30,S026,P015,21,39.49
2025-11-30,S018,P022,3,2.75
2025-11-30,S018,P009,14,27.28
2025-11-30,S018,P012,7,16.85
2025-11-30,S018,P005,16,34.91
2025-11-30,S018,P016,22,42.8
2025-11-30,S001,P020,18,78.6
2025-11-30,S001,P010,13,24.52
2025-11-30,S001,P012,12,28.16
2025-11-30,S001,P004,13,31.97
2025-11-30,S001,P019,2,3.87
2025-11-30,S044,P001,17,40.13
2025-11-30,S044,P006,10,28.86
2025-11-30,S044,P009,12,23.39
2025-11-30,S044,P023,1,2.4
2025-11-30,S044,P025,16,60.47
2025-12-01,S020,P022,8,7.61
2025-12-01,S020,P014,12,39.48
2025-12-01,S020,P016,17,31.96
2025-12-01,S020,P020,8,34.77
2025-12-01,S020,P015,1,1.98
2025-12-01,S020,P024,6,28.24
2025-12-01,S047,P001,12,28.4
2025-12-01,S047,P016,9,17.67
2025-12-01,S047,P024,9,44.41
2025-12-01,S021,P014,4,13.49
2025-12-01,S021,P001,15,35.61
2025-12-01,S021,P015,4,7.94
2025-12-01,S037,P020,3,12.51
2025-12-01,S037,P015,15,28.71
2025-12-01,S037,P023,17,41.47
2025-12-01,S037,P012,8,18.59
2025-12-01,S039,P017,11,19.62
2025-12-01,S039,P007,5,9.27
2025-12-01,S039,P025,6,22.32
2025-12-01,S006,P006,16,46.17
2025-12-01,S006,P025,17,67.19
2025-12-01,S006,P021,14,67.78
2025-12-01,S004,P015,12,23.1
2025-12-01,S004,P003,13,30.58
2025-12-01,S004,P016,11,20.78
2025-12-01,S004,P021,8,39.49
2025-12-01,S010,P020,16,71.58
2025-12-01,S010,P017,2,3.53
2025-12-01,S010,P013,7,18.71
2025-12-01,S011,P002,4,9.3
2025-12-01,S011,P015,10,19.89
2025-12-01,S011,P004,18,41.8
2025-12-01,S011,P011,16,24.19
2025-12-01,S040,P022,3,2.86
2025-12-01,S040,P020,12,52.69
2025-12-01,S040,P002,5,12.03
2025-12-01,S040,P021,7,33.0
2025-12-01,S040,P011,10,15.53
2025-12-01,S044,P010,14,27.12
2025-12-01,S044,P018,13,25.19
2025-12-01,S044,P013,16,42.36
2025-12-01,S045,P007,6,11.12
2025-12-01,S045,P011,3,4.69
2025-12-01,S045,P025,20,78.75
2025-12-01,S045,P016,13,24.5
2025-12-01,S018,P020,8,35.26
2025-12-01,S018,P013,7,18.04
2025-12-01,S018,P005,14,30.1
2025-12-01,S018,P006,17,49.82
2025-12-02,S015,P007,3,5.91
2025-12-02,S015,P020,5,21.58
2025-12-02,S015,P005,4,8.99
2025-12-02,S015,P009,9,17.21
2025-12-02,S035,P003,2,4.73
2025-12-02,S035,P008,18,34.03
2025-12-02,S035,P015,1,1.85
2025-12-02,S035,P012,14,32.45
2025-12-02,S035,P001,13,31.0
2025-12-02,S035,P014,6,20.05
2025-12-02,S016,P003,9,21.6
2025-12-02,S016,P001,17,41.57
2025-12-02,S016,P009,7,12.87
2025-12-02,S020,P021,2,9.64
2025-12-02,S020,P020,5,20.66
2025-12-02,S020,P015,10,18.97
2025-12-02,S020,P003,4,9.45
2025-12-02,S020,P004,18,44.05
2025-12-02,S020,P016,18,34.07
2025-12-02,S031,P002,15,35.39
2025-12-02,S031,P021,5,24.42
2025-12-02,S031,P013,9,23.81
2025-12-02,S031,P012,14,32.56
2025-12-02,S031,P009,20,38.14
2025-12-02,S031,P001,8,18.43
2025-12-02,S013,P002,15,35.9
2025-12-02,S013,P010,14,27.31
2025-12-02,S013,P007,6,11.81
2025-12-02,S013,P025,3,11.33
2025-12-02,S013,P023,5,11.89
2025-12-02,S013,P022,16,15.71
2025-12-02,S024,P011,11,17.11
2025-12-02,S024,P006,3,8.97
2025-12-02,S024,P016,7,13.17
2025-12-02,S024,P023,3,7.05
2025-12-02,S024,P012,16,38.01
2025-12-02,S024,P017,14,23.14
2025-12-02,S037,P020,4,17.11
2025-12-02,S037,P014,21,71.41
2025-12-02,S037,P009,1,1.93
2025-12-02,S037,P021,11,50.79
2025-12-02,S037,P002,11,27.28
2025-12-02,S029,P020,20,85.29
2025-12-02,S029,P005,4,8.82
2025-12-02,S029,P022,12,11.19
2025-12-02,S030,P001,17,42.04
2025-12-02,S030,P024,4,18.78
2025-12-02,S030,P006,13,37.66
2025-12-02,S019,P007,20,39.2
2025-12-02,S019,P004,13,31.62
2025-12-02,S019,P005,13,29.42
2025-12-02,S019,P003,8,19.14
2025-12-02,S019,P015,6,11.74
2025-12-02,S019,P006,10,27.57
2025-12-02,S025,P015,3,5.97
2025-12-02,S025,P018,17,33.21
2025-12-02,S025,P005,3,6.49
2025-12-02,S025,P020,3,13.13
2025-12-02,S025,P003,10,24.56
2025-12-02,S033,P025,3,11.51
2025-12-02,S033,P005,8,17.33
2025-12-02,S033,P014,8,27.79
2025-12-02,S033,P017,13,21.87
2025-12-02,S034,P005,4,8.55
2025-12-02,S034,P021,4,19.36
2025-12-02,S034,P010,14,26.89
2025-12-02,S034,P020,1,4.47
2025-12-02,S034,P018,10,19.53
2025-12-02,S027,P020,11,46.63
2025-12-02,S027,P021,10,48.64
2025-12-02,S027,P001,10,24.28
2025-12-02,S027,P016,6,11.45
2025-12-02,S027,P024,7,32.54
2025-12-02,S027,P018,13,25.58
2025-12-03,S009,P002,12,29.56
2025-12-03,S009,P010,8,15.84
2025-12-03,S009,P013,9,23.42
2025-12-03,S049,P016,17,31.78
2025-12-03,S049,P010,9,16.88
2025-12-03,S049,P025,14,51.43
2025-12-03,S049,P001,4,9.87
2025-12-03,S049,P003,15,35.46
2025-12-03,S049,P013,10,26.92
2025-12-03,S024,P018,18,33.76
2025-12-03,S024,P010,3,5.54
2025-12-03,S024,P003,15,35.38
2025-12-03,S024,P013,14,36.56
2025-12-03,S024,P017,16,26.44
2025-12-03,S033,P005,17,36.28
2025-12-03,S033,P023,14,34.67
2025-12-03,S033,P011,9,14.3
2025-12-03,S036,P019,10,18.33
2025-12-03,S036,P011,13,20.64
2025-12-03,S036,P017,12,21.01
2025-12-03,S036,P018,2,3.75
2025-12-03,S036,P016,10,19.24
2025-12-03,S007,P017,11,19.19
2025-12-03,S007,P021,3,14.61
2025-12-03,S007,P024,5,23.58
2025-12-03,S007,P020,5,21.02
2025-12-03,S021,P024,15,71.73
2025-12-03,S021,P025,12,44.71
2025-12-03,S021,P002,12,29.11
2025-12-03,S021,P005,10,21.42
2025-12-03,S021,P017,7,11.83
2025-12-03,S021,P007,12,23.32
2025-12-03,S016,P011,5,7.66
2025-12-03,S016,P016,16,31.72
2025-12-03,S016,P012,5,11.74
2025-12-03,S016,P018,3,5.7
2025-12-03,S016,P009,11,20.51
2025-12-03,S016,P010,12,23.3
2025-12-03,S030,P004,7,16.97
2025-12-03,S030,P020,15,63.22
2025-12-03,S030,P024,4,19.51
2025-12-03,S030,P019,5,9.26
2025-12-03,S008,P014,9,30.52
2025-12-03,S008,P021,4,18.73
2025-12-03,S008,P016,3,5.58
2025-12-03,S008,P007,8,14.69
2025-12-03,S018,P016,6,11.3
2025-12-03,S018,P006,20,57.62
2025-12-03,S018,P010,20,37.04
2025-12-03,S018,P002,17,39.6
2025-12-03,S018,P001,4,9.75
2025-12-03,S018,P023,11,25.23
2025-12-03,S029,P010,7,13.53
2025-12-03,S029,P019,16,30.61
2025-12-03,S029,P022,3,2.76
2025-12-03,S029,P025,5,19.85
2025-12-03,S029,P007,1,1.87
2025-12-03,S043,P011,10,15.51
2025-12-03,S043,P010,3,5.71
2025-12-03,S043,P019,6,11.46
2025-12-03,S043,P024,12,58.15
2025-12-03,S043,P001,10,23.35
2025-12-03,S010,P016,12,23.02
2025-12-03,S010,P005,19,42.82
2025-12-03,S010,P015,9,17.45
2025-12-03,S010,P024,4,19.21
2025-12-04,S005,P004,17,39.13
2025-12-04,S005,P022,6,5.68
2025-12-04,S005,P007,3,5.81
2025-12-04,S005,P019,12,22.73
2025-12-04,S005,P016,2,3.85
2025-12-04,S005,P003,2,4.86
2025-12-04,S037,P003,10,24.44
2025-12-04,S037,P016,13,25.65
